claim_id,statement_date,speaker,role,agency,attribution,channel,claim_kind,scope,direction,commodity,metric,value_min,value_max,unit,time_basis,averaging_window_days,claim_text,status,supersedes_claim_id,disputes_claim_id,notes,source_publisher,source_date,source_title,source_url
USOF-20260310-01,2026-03-10,Chris Wright,U.S. Energy Secretary,Department of Energy,named,X post (deleted),escort_status,hormuz_only,transit,oil tanker,vessel_escort,,,,event,,Said the U.S. Navy had successfully escorted an oil tanker through Hormuz.,retracted_and_denied,,,Deleted quickly; White House and U.S. officials denied any escort had occurred at that time.,Bloomberg,2026-03-10,"US Didn’t Escort Tanker Through Hormuz, Refuting Wright Post",https://www.bloomberg.com/news/articles/2026-03-10/us-escorted-an-oil-tanker-through-the-strait-of-hormuz-wright
USOF-20260310-02,2026-03-10,Karoline Leavitt,White House Press Secretary,White House,named,press briefing,escort_status,hormuz_only,transit,commercial vessel,vessel_escort,,,,as_of_statement,,Said the U.S. Navy had not escorted a tanker or vessel at that time.,active,,USOF-20260310-01,Same-day White House statement disputing the deleted Wright post; neither statement independently verified.,White House briefing transcript via Rev,2026-03-10,Karoline Leavitt White House Briefing 3/10/26,https://www.rev.com/transcripts/karoline-leavitt-white-house-press-briefing-on-3-10-26
USOF-20260312-01,2026-03-12,Chris Wright,U.S. Energy Secretary,Department of Energy,named,CNBC interview,escort_status,hormuz_only,transit,oil tankers,operational_readiness,,,,forecast,,"Said the U.S. military was not yet ready to escort tankers through Hormuz, but expected readiness relatively soon.",active,,,Context for the March 10 correction.,S&P Global,2026-03-12,US 'not ready' to escort tankers through Strait of Hormuz: Wright,https://www.spglobal.com/energy/en/news-research/latest-news/crude-oil/031226-us-not-ready-to-escort-tankers-through-strait-of-hormuz-wright
USOF-20260325-01,2026-03-25,Karoline Leavitt,White House Press Secretary,White House,named,press briefing,operational_status,hormuz_only,transit,oil tankers,timeline,,,,as_of_statement,,"Said the U.S. was tracking very closely how to get oil tankers through Hormuz, with no specific timeline for free movement.",active,,,,Reuters via Investing.com,2026-03-25,"US tracking closely how to get oil tankers through Strait of Hormuz, White House says",https://www.investing.com/news/commodities-news/us-tracking-closely-how-to-get-oil-tankers-through-strait-of-hormuz-white-house-says-4580658
USOF-20260410-01,2026-04-10,Donald Trump,U.S. President,White House,named,public remarks,forecast,hormuz_only,transit,commercial shipping,reopening_status,,,,forecast,,Said the United States would have the Strait of Hormuz open fairly soon.,active,,,"Qualitative forecast, not a measured flow claim.",Reuters,2026-04-10,Trump says US will have Strait of Hormuz 'open fairly soon',https://www.reuters.com/business/energy/trump-says-us-will-have-strait-hormuz-open-fairly-soon-2026-04-10/
USOF-20260503-01,2026-05-03,U.S. Central Command,official release,CENTCOM,institutional,official release,operational_status,hormuz_only,both,commercial shipping,mission_launch,,,,as_of_statement,,Announced Project Freedom would begin May 4 to restore freedom of navigation for commercial shipping through Hormuz.,active,,,"Mission statement, not a flow measurement.",U.S. Central Command,2026-05-03,U.S. Military Supports Launch of Project Freedom in Strait of Hormuz,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4476318/us-military-supports-launch-of-project-freedom-in-strait-of-hormuz/
USOF-20260504-01,2026-05-04,Adm. Brad Cooper,CENTCOM Commander,CENTCOM,named,media conference call,ship_count,hormuz_only,transit,merchant vessels,supported_transits,2,2,vessels,event,,Said U.S. forces had successfully supported transit of two U.S.-flagged merchant vessels through Hormuz.,active,,,Not necessarily oil tankers.,U.S. Central Command,2026-05-04,"Adm. Brad Cooper, CENTCOM Commander, Conducts a Media Conference Call",https://www.centcom.mil/MEDIA/Transcripts/Article/4477143/adm-brad-cooper-centcom-commander-conducts-a-media-conference-call/
USOF-20260510-01,2026-05-10,Chris Wright,U.S. Energy Secretary,Department of Energy,named,Face the Nation interview,forecast,hormuz_only,both,all traffic,free_flow,,,,forecast,,Said the eventual outcome would include free flow of traffic through the Strait of Hormuz.,active,,,Qualitative forecast.,CBS transcript via AOL,2026-05-10,Transcript: Energy Secretary Chris Wright on Face the Nation,https://www.aol.com/articles/transcript-energy-secretary-chris-wright-143434000.html
USOF-20260609-01,2026-06-09,Chris Wright,U.S. Energy Secretary,Department of Energy,named,energy conference,trend,hormuz_only,transit,exports / ship traffic,traffic_trend,,,,recent,,Said traffic through Hormuz was rising very meaningfully compared with recent weeks; gave no numerical figure.,active,,,,The National,2026-06-09,Oil prices drop as US energy chief sees traffic increase in Strait of Hormuz,https://www.thenationalnews.com/business/energy/2026/06/09/oil-prices-drop-as-us-energy-chief-sees-traffic-in-strait-of-hormuz/
USOF-20260610-01,2026-06-10,Donald Trump,U.S. President,White House,named,Oval Office remarks,ship_count,hormuz_only,outbound,oil / commercial ships,ships_single_operation,22,22,ships,single_night,,Said the U.S. had taken 22 ships through at night with no lights as part of a secret operation.,active,,,Exact relationship between the 22 ships and oil cargoes was not specified.,Reuters,2026-06-10,Trump says US will attack Iran 'very hard' and has taken oil through Hormuz,https://www.reuters.com/world/middle-east/trump-iran-were-going-be-attacking-them-very-hard-2026-06-10/
