estimate_id,estimate_date,date_precision,tracker,value_low,value_high,value_central,unit,scope,period,commodity,evidence_type,note,as_reported_by,source_url,entered_date
e1,2026-08-24,day,vessel-monitoring services (consensus),5.0,5.0,5.0,mbd,hormuz_outbound,unspecified,unspecified,commercial_tracker_model,Estimate explicitly attempts to include dark transits and ship-to-ship transfers.,Reuters,https://www.reuters.com/commentary/reuters-open-interest/hormuz-crude-volume-debate-masks-real-shortage-refined-fuels-2026-08-24/,2026-08-26
e2,2026-08-01,month,commercial trackers (range),2.0,6.0,,mbd,hormuz_outbound,unspecified,unspecified,commercial_tracker_model,Range across commercial trackers; Persian Gulf loadings and subsequent deliveries not corroborating the full U.S. figure.,The Wall Street Journal,https://www.wsj.com/business/energy-oil/u-s-says-oil-is-pouring-through-hormuz-trackers-cant-find-it-306faebd,2026-08-26
e3,2026-08-28,day,Kpler,5.0,6.0,,mbd,hormuz_outbound,unspecified,crude,commercial_tracker_model,"Named-tracker figure distinct from e1 (anonymous 'vessel-monitoring services consensus,' Reuters, Aug. 24) and e2 (WSJ range, Aug. 1); reported alongside continuing administration figures well above this range, underscoring the persistent gap between administration and tracker figures.",CNBC,https://www.cnbc.com/2026/08/28/navy-blockade-iran-oil-exports-sanctions-trump.html,2026-08-31
e4,2026-08-28,day,Goldman Sachs (analysts Daan Struyven and Yulia Zhestkova Grigsby),15.0,16.0,,mbd,hormuz_outbound,unspecified,all_liquids,commercial_tracker_model,"Crude AND refined products: 'Total exports of crude and oil products passing through the waterway have risen to 15 million to 16 million barrels a day' — a different quantity than the crude-only figures in this dispute, so it never enters the crude episode. Implied pre-war base ~23; March trough 5-6; note credits rising dark crossings and ship-to-ship transfers. Some aggregator rewrites render the scope as region-wide; this row follows the Bloomberg text as syndicated.",Bloomberg (via Yahoo Finance syndication),https://finance.yahoo.com/energy/articles/goldman-says-hormuz-oil-flows-012118583.html,2026-08-31
e5,2026-08-27,day,physical-market participants (traders quoted anonymously),6.0,8.0,,mbd,hormuz_outbound,unspecified,crude,market_participant_estimate,"'About 6 million to 8 million barrels a day of crude is transiting the strait, traders told Bloomberg this week.' Primary: Bloomberg, Aug 27 2026, 'Hormuz Oil Shipments Rise as Gulf Producers Boost Exports' (traders involved in and monitoring cargo activity; Iraq, Qatar and Kuwait barrels seen in Bloomberg/Kpler/Vortexa vessel data). First independent figure whose upper end reaches the administration range (8-10); sits above the tracker consensus (~5) and the WSJ tracker range (2-6). Anonymous market participants, not a model.",Bloomberg (via Yahoo Finance syndication),https://finance.yahoo.com/energy/articles/goldman-says-hormuz-oil-flows-012118583.html,2026-08-31
e6,2026-08-31,day,TankerTrackers.com (Samir Madani),9.14,9.14,9.14,mbbl_single_day,regional_total_including_bypass,single_day,unspecified,commercial_tracker_model,"Samir Madani (TankerTrackers.com co-founder) estimate of oil exiting the Arabian Sea, including Hormuz transits and UAE bypass volumes via the Gulf of Oman; one of the higher-traffic days of the period but still well below pre-war volumes, per Fortune.",Fortune,https://fortune.com/2026/09/02/trump-more-oil-exited-middle-east-before-war-data-otherwise/,2026-09-14
e7,2026-09-01,day,TankerTrackers.com (Samir Madani),6.81,6.81,6.81,mbbl_single_day,regional_total_including_bypass,single_day,unspecified,commercial_tracker_model,"Same calendar day as Energy Secretary Wright's ""more than 17 million barrels"" CNBC claim (c7). NOT directly comparable to c7: this figure is regional (Hormuz plus UAE bypass) while c7 is Hormuz-only, and the two use unrelated methodologies. Flagged in PR summary as the widest same-day divergence in this ledger to date.",Fortune,https://fortune.com/2026/09/02/trump-more-oil-exited-middle-east-before-war-data-otherwise/,2026-09-14
e8,2026-09-02,day,TankerTrackers.com (Samir Madani),4.63,4.63,4.63,mbbl_single_day,regional_total_including_bypass,single_day,unspecified,commercial_tracker_model,Continues the day-by-day series with e6 (Aug. 31) and e7 (Sept. 1); Fortune describes volumes as fluctuating wildly day-to-day versus the steadier pre-war pattern.,Fortune,https://fortune.com/2026/09/02/trump-more-oil-exited-middle-east-before-war-data-otherwise/,2026-09-14
e9,2026-09-02,day,TankerTrackers.com (Samir Madani),8.27,8.27,8.27,mbd,regional_total_including_bypass,seven_day_average,unspecified,commercial_tracker_model,"Same Fortune report also gives a 28-day average of 6.85 million b/d, not entered as its own row (the period enum has no 28-day option). Regional scope (Hormuz plus UAE bypass); not directly comparable to the Hormuz-only administration figures elsewhere in this ledger.",Fortune,https://fortune.com/2026/09/02/trump-more-oil-exited-middle-east-before-war-data-otherwise/,2026-09-14
e10,2026-08-31,day,Vortexa,8.0,8.0,8.0,mbd,hormuz_outbound,unspecified,all_liquids,commercial_tracker_model,"28-day moving average to Aug. 31 (period enum has no 28-day option, recorded as unspecified); crude and products combined. Attributed to Vortexa senior analyst Rohit Rathod.",Axios,https://www.axios.com/2026/09/04/trump-strait-hormuz-oil-claims-iran,2026-09-14
